ID	HIT	REPORT
1915321	0	THE ROTATOR BROKE DURING A LEFT VENTRICULOGRAM PROCEDURE. NO HARM OR INJURY WAS REPORTED. THE CUSTOMER REPORTED THREE (3) DEFECTIVE DEVICES BUT HAS NOT PROVIDED ANY ADDITIONAL INFORMATION OR CLINICAL DETAILS FOR THE ADDITIONAL EVENTS. THE CUSTOMER RETURNED ONE DEVICE. THEREFORE, THIS SINGLE REPORT WILL BE SUBMITTED FOR THIS COMPLAINT. DEVICE EVALUATION: THE EVALUATION/INVESTIGATION IS NOT COMPLETE. A FOLLOW-UP REPORT WILL BE SUBMITTED WHEN THE EVALUATION IS COMPLETED. EVALUATION: CONCLUSIONS - A FOLLOW-UP REPORT WILL BE SUBMITTED WHEN THE DEVICE EVALUATION HAS BEEN COMPLETED.
2042167	0	THE REPORTER REPORTED THAT ON (B)(6) 2011 THE PT OBTAINED THE ELEVATED BLOOD GLUCOSE READING OF 360 MG/DL AND SHE TESTED POSITIVE FOR KETONES. AT THAT TIME, THE PT EXPERIENCED THE SYMPTOMS OF NAUSEA AND BLURRED VISION. AT 11:11 PM THE PT CHANGED THE CARTRIDGE AND OBSERVED INSULIN LEAKING FROM THE TUBING CONNECTION TO THE CARTRIDGE, AND THE CARTRIDGE COMPARTMENT SMELLED OF INSULIN. AT 12:00AM THE PT CHANGED THE CARTRIDGE AGAIN, AND HER BLOOD GLUCOSE LEVEL RESPONDED TO THE BOLUSES DELIVERED. TROUBLESHOOTING REVEALED THERE WAS NO PROBLEM WITH THE INFUSION SITE, THERE WAS NO BLOOD IN THE CANNULA, THE PUMP'S PROGRAMMING WAS CORRECT, AND THE TOTAL DAILY DOSES OF INSULIN DELIVERED MATCHED THE BASAL/BOLUSES PROGRAMMED. THE PUMP HAS NOT BEEN RETURNED TO ANIMAS FOR EVALUATION. IF THE DEVICE IS RETURNED, AN EVALUATION SHALL BE COMPLETED AND A SUPPLEMENTAL REPORT WILL BE FILED. NO CONCLUSIONS CAN BE DRAWN AT THIS TIME.
2417215	0	THERMADRAPE THERMAL BLANKET EMITTED A STRONG FOUL SMELL. THE ODOR INCREASED AS PATIENTS USED THEM. WE ATTEMPTED TO PLACE THEM ON APPROXIMATELY 20 PATIENTS. ALL BLANKETS WERE REMOVED FROM STOCK. 
3346786	0	LEICA BIOSYSTEMS RECEIVED A COMPLAINT REGARDING FALSE POSITIVE STAINING OF TISSUE WITH TTR ANTIBODY (DAKO A002). THE RESULT WAS NEGATIVE WHEN STAINING OF THE SAME TISSUE SAMPLE WAS SUBSEQUENTLY PERFORMED MANUALLY. THE LAB ADVISED OF MISDIAGNOSIS FOR THE PATIENT FROM WHOM THE TISSUE SAMPLE WAS DERIVED; AND THAT FURTHER SPECIFIC INFO REQUIRED BY LEICA BIOSYSTEMS TO CONDUCT AN INVESTIGATION INTO THE CIRCUMSTANCES INVOLVED IN THIS COMPLAINT MAY NOT BE ABLE TO BE PROVIDED FOR SEVERAL WEEKS AS THE RESPONSIBLE STAFF MEMBER IS UNAVAILABLE. INVESTIGATION OF THIS COMPLAINT BY LEICA BIOSYSTEMS IS IN PROGRESS. 
3369763	1	GE HEALTHCARE HAS RECEIVED NOTIFICATION OF A DEATH OF A FETUS. THE FOLLOWING INFORMATION WAS OBTAINED BY GE HEALTHCARE THROUGH THE LEGAL PROCEEDINGS RELATED TO THIS CASE. MULTIPLE CLINICAL SIGNS PRESENTED THAT INDICATED FETAL DISTRESS DURING THE MONITORING SESSION TO WHICH THE OB TEAM DID NOT TAKE APPROPRIATE ACTIONS: LOW FETAL HEART RATE VARIABILITY- A HEALTHY FETUS HAS HIGH HEART RATE VARIABILITY. MATERNAL HEART RATE WAS VERY CLOSE TO FETAL HEART RATE; THE STRIP CHART INDICATED THE MATERNAL HEART RATE AND FETAL HEART RATE ACTUALLY OVERLAPPED 5 TIMES DURING THE MONITORING SESSION, AS SHOWN BY THE HBC INDICATION- A HEALTHY FETAL HEART RATE IS TYPICALLY HIGHER THAN THE MATERNAL HEART RATE. FETAL HEART RATE ACCELERATED DURING CONTRACTIONS- A HEALTHY FETUS WOULD HAVE HEART RATE DECELERATIONS DURING MATERNAL CONTRACTIONS. MULTIPLE MATERNAL PARAMETERS TO INDICATE THE MOTHER WAS AT HIGH RISK FOR A COMPLICATED BIRTHING PROCESS, I.E. SHE WAS OVERWEIGHT, TACHYCARDIC, AND FEVERISH. THE OB TEAM ATTEMPTED TO USE A FETAL SCALP ELECTRODE (FSE) TO OBTAIN A FETAL HEART RATE DIRECTLY ON FOUR OCCASIONS WITH TWO DIFFERENT ELECTRODES. THEY OBSERVED NO GOOD SIGNAL FROM THE FSE ATTEMPTS AND CONCLUDED THE ELECTRODES WERE DEFECTIVE, INSTEAD OF CONCLUDING THERE WAS A PROBLEM WITH THE FETUS. ONE OF THE OBSTETRICIANS COMMUNICATED THEY DO NOT LOOK AT THE MONITOR STRIP CHART AT ALL. ANOTHER MEMBER OF THE OB TEAM COMMUNICATED THEY DIDN'T KNOW ABOUT OVERLAPPING HEARTRATES AND, THEREFORE, DID NOT UNDERSTAND THE INDICATIONS. THE OBSTETRICIANS COMMUNICATED THEY DID NOT READ THE MONITOR USER'S MANUAL AND DID NOT UNDERSTAND HEARTBEAT COINCIDENCE. THE OBSTETRICIANS APPLIED, REMOVED, AND THEN APPLIED SPO2 AGAIN. WHEN SPO2 WAS APPLIED AND INDICATED A MATERNAL HEART RATE THAT WAS OVERLAPPING WITH THE FETAL HEART RATE, APPROPRIATE ACTIONS WERE NOT TAKEN. THE OBSTETRICIANS DID NOT CONSIDER THE TWO HEART BEATS WERE BOTH FROM THE MOTHER AND THAT THE FETAL HEART BEAT WAS NOT BEING DETECTED. GE HEALTHCARE PROVIDED TRAINING ON THE DEVICE WHICH WAS ATTENDED BY HOSPITAL STAFF SEVERAL MONTHS PRIOR TO THE INCIDENT. THE HOSPITAL IS RESPONSIBLE FOR ENSURING THEIR CLINICIANS ARE PROPERLY TRAINED ON THE DEVICE THROUGH PERSONNEL TURNOVER CYCLES, ETC. THE GE TRAINING WAS PROVIDED ONE TIME ONLY AND WAS NOT PURCHASED AGAIN FOR NEW CLINICIANS THAT DID NOT RECEIVE THE ORIGINAL TRAINING. IT WAS CONCLUDED THAT THE ROOT CAUSE WAS USER ERROR INTERPRETING THE CLINICAL SITUATION OF THE MOTHER AND THE FETUS.><THE LEGAL COMPLAINT THAT GENERAL ELECTRIC COMPANY RECEIVED ALLEGES THE FOLLOWING: "THE COROMETRICS MONITOR MADE IT APPEAR TO THE HEALTHCARE PROVIDERS THAT THE FETAL HEART RATE WAS BEING MONITORED THROUGHOUT LABOR AND WAS NORMAL." "HOWEVER, AT SOME POINT HOURS BEFORE DELIVERY, HIS FETAL HEART RATE BECAME DISTRESSED. INSTEAD OF PICKING UP THIS DISTRESS, THE COROMETRICS FETAL HEART MONITOR MADE A SMOOTH TRANSITION TO THE MATERNAL HEART RATE, CONFUSING THE HEALTHCARE PROVIDERS INTO BELIEVING THE BABY'S HEART WAS FINE." GE HEALTHCARE'S INVESTIGATION IS ONGOING. A FOLLOW UP REPORT WILL BE SUBMITTED ONCE THE INVESTIGATION HAS BEEN COMPLETED.><NO INFORMATION HAS BEEN PROVIDED TO GE HEALTHCARE BY THE HOSPITAL ON THE STATUS OF THE UNIT. AT THIS TIME, IT IS NOT KNOWN IF THE UNIT WAS TAKEN OUT OF SERVICE OR IF IT CONTINUES TO BE USED WITH PATIENTS. NO FURTHER DETAILS ABOUT THE ALLEGED DEVICE OR THE EVENT HAVE BEEN PROVIDED TO GE HEALTHCARE. THERE ARE NO SERVICE RECORDS FOR THE DEVICE IN THE GE HEALTHCARE DATABASE. THEREFORE, WITHOUT SUFFICIENT INFORMATION ABOUT THE EVENT, OR THE EVALUATION OF THE ALLEGED DEVICE, IT IS NOT POSSIBLE TO DETERMINE THE ROOT CAUSE OF THE ALLEGED ISSUE.
1205683	0	tubing was reported blocked. no pt complications were reported. >< method/results/conclusions: device has not been returned for evaluation.
2228247	1	IT WAS REPORTED THAT THE VIGILANCE II MEAN ARTERIAL VALUE (MAP) DID NOT MATCH THE GE SOLAR 8000 (RAC4A) BEDSIDE MONITOR'S MAP. NO PATIENT COMPLICATIONS WERE REPORTED. A 70ANM5 SLAVE CABLE WAS USED TO TRANSMIT INFORMATION BETWEEN THE TWO MONITORS. THE ACCOUNT WAS A NEW USER TO THE SYSTEM AS OF JANUARY 2007. (B)(6). (B)(4): INCORRECT PARAMETER CALCULATIONS. FOLLOWUP WITH THE ACCOUNT INDICATED THAT THEY ARE NOT RETURNING THE VIGILANCE MONITOR. THE DFU INSTRUCTS THE USER TO VERIFY THE SLAVED MAP VALUES WITH THOSE DISPLAYED ON THE BEDSIDE MONITOR. REFERENCE VIGILANCE II DFU, SECTION 2-6. THE STATEMENT IS AS FOLLOWS: "CAUTION: THE ACCURACY OF CONTINUOUS SVR, VQI AND O2 EL DEPENDS UPON THE QUALITY AND ACCURACY OF THE MAP, CVP AND SA02 DATA TRANSMITTED FROM THE EXTERNAL MONITORS. SINCE MAP, CVP, AND SA02 ANALOG SIGNAL QUALITY FROM THE EXTERNAL MONITOR CANNOT BE VALIDATED BY THE VIGILANCE II MONITOR, ACTUAL VALUES AND THE VALUES (INCLUDING ALL DERIVED PARAMETERS) DISPLAYED BY THE VIGILANCE II MONITOR MAY NOT BE CONSISTENT. THE ACCURACY OF CONTINUOUS SVR, VQI AND O2EI MEASUREMENT, THEREFORE, CANNOT BE GUARANTEED. TO AID IN DETERMINING THE QUALITY OF THE ANALOG SIGNALS, REGULARLY COMPARE THE MAP, CVP AND SA02 VALUES DISPLAYED ON THE EXTERNAL MONITOR TO THE VALUES DISPLAYED ON THE VIGILANCE MONITOR. REFER TO EXTERNAL INPUT DEVICE OPERATOR'S MANUAL FOR DETAILED INFORMATION. REGARDING ACCURACY, CALIBRATION, AND OTHER VARIABLES WHICH MAY IMPACT THE ANALOG OUTPUT SIGNAL FROM THE EXTERNAL MONITOR." DEVICE 2: BRAND NAME: PRESSURE SLAVE CABLE; TYPE OF DEVICE: ANALOGUE SLAVE CABLE; MANUFACTURER: EDWARDS LIFESCIENCES (B)(4). MODEL#: 70ANM5, SINGLE USE DEVICE THAT WAS REPROCESSED?: NO; DEVICE AVAILABLE FOR EVAL?: NO. (B)(4): INCORRECT PARAMETER CALCULATIONS. (B)(4).
1910611	0	RN SENT PHILIPS TELEMETRY PACK TO BIOMED BECAUSE IT PERSISTED IN DISPLAYING 'LOW BATTERY.'  BIOMED CHANGED AA BATTERIES AND GOT THE SAME ISSUE OF 'LOW BATTERY' WITHIN 1-2 MINUTES.  TECH OPENED BATTERY CASE AND ON REMOVING ONE OF THE TWO BATTERIES FOUND IT TO BE EXTREMELY HOT TO TOUCH.  ON FURTHER INVESTIGATION IT WAS FOUND THAT THE NEGATIVE POLE SPRING (THE BATTERY TOWARDS THE OUT SIDE OF THE CASE) HAD SLIPPED OVER THE TOP OF RETAINING CLIP AND COME INTO CONTACT WITH WIRE FROM THE BATTERY CLOSER TO THE TOUCH PAD.  THE LOAD ON OUTSIDE BATTERY WAS GREATLY INCREASED AND OVERHEATED.  THE BATTERY INDICATOR WAS DISPLAYING 'LOW BATTERY' ON THE UNIT'S SCREEN.  IN A SIMULATED SITUATION IT WAS DEMONSTRATED THAT THE OUTSIDE BATTERY WAS HEATING UP TO ~ 196.5 F DEGREES.  THE PLASTIC RETAINING CLIP 'GRINDS DOWN' OVER TIME.  THERE IS NO APPARENT WAY TO REPLACE THE CLIP. PATIENTS HAVE COMPLAINED THE PACK GETS HOT BUT WE HAD NEVER DISCOVERED THE CAUSE UNTIL NOW.HEALTH PROFESSIONAL'S IMPRESSION: WEAR AND TEAR ON A PLASTIC RETAINING CLIP THAT ALLOWS A NEGATIVE POLE BATTERY SPRING TO SLIP UP OVER TOP OF CLIP AND COME INTO CONTACT WITH SECOND AA BATTERY.  THIS IS A SUBTLE PROBLEM THAT NURSING STAFF CANNOT EASILY VISUALIZE OR FIX.
1709197	1	EQUIPMENT INSTALLATION (B)(6) 2009 WAS PHASED TO 'GO LIVE' DURING (B)(6). (B)(6) THE HOSPITAL EXPERIENCED A NUMBER OF ISSUES. MULTIPLE INSTANCES OF DATABASE SERVER (DBS) REBOOTING CAUSING THE PATIENT INFORMATION CENTER (PICS) TO GO INTO LOCAL MODE AND FOR THE CLIENTS TO GO OFF LINE. MOUSE FAILURES WITH THE REMOTE CPU SOLUTION AND KEY BOARD, MONITOR, VIDEO (KVM) SWITCHES. THE PIC REBOOTS OR GOES BLANK RANDOMLY; PIC RECOVERS, HOWEVER DATA IS LOST DURING THE TIME OF THE 'BLANKING' OR REBOOTING. PRINTERS ARE GOING OFF LINE AND UNABLE TO PRINT. SYSTEM TESTED FOR HARDWARE FAILURES AND OR OBVIOUS CONFIGURATION ISSUES. SOME HARDWARE DEVICES KVM SWITCH AND MOUSE WERE REPLACED. THE RESULT OF THE PROCESS WAS THE PHILIPS LOCAL SERVICE ENGINEER WAS UNABLE TO ISOLATE ANY OBVIOUS SOURCE OF FAILURE. THERE WAS A FORMAL ESCALATION IN (B)(4) TO THE PHILIPS REGION SUPPORT MANAGER. ALL LOGS FROM SERVERS WERE SENT TO PHILIPS MONITORING HQ FOR ANALYSIS. DBS REBOOTS ERROR LOGS INDICATE THAT THE SYSTEM WAS THOUGHT THAT IT HAD RUN OUT OF AVAILABLE MEMORY AND CREATED A REBOOT TO DUMP ITS MEMORY CONTENT. PHILIPS ANALYZED THE SOFTWARE CODE AND DISCOVERED AN ERROR IN THE CODE THAT CREATED AN ERRONEOUS MEMORY CAP. A PATCH WAS CREATED IN (B)(4) WHICH CORRECTED THE PROBLEM. PRINTERS GOING OFF LINE WERE HOSPITAL PROCURED PRINTERS WHICH POSSESS 2 NIC CARDS INSTEAD OF ONE. THIS PROBLEM WAS MOST PREVALENT ON THE LEAST ACTIVE PRINTERS AND PHILIPS PROVIDED 2 DIVISION PRINTERS FOR THESE AREAS WHICH WERE INSTALLED IN (B)(4) WITH NO FURTHER ISSUES. PIC REBOOTS ANALYSIS OF THE ERROR LOGS INDICATED 2 TYPES OF ERROR GENERATED BY THE PICS WHEN THEY WOULD HAVE A DOCUMENTED A REBOOT OCCURRENCE LOSS OF COMMUNICATION WITH THE DBS AND NETWORK MESSAGING A 'DR WATSON' ERROR (A SOFTWARE ERROR THAT MAY OCCUR WHEN COPYING OR PASTING FILES USING WINDOWS EXPLORER). IN (B)(4) THE MEMORY LEAK PATCH WAS PERFORMED WHICH ELIMINATED THE REBOOTS ASSOCIATED WITH THE DBS REBOOT. REBOOTS GENERATING THE OTHER ERROR CONTINUE. REMOTE SERVER NETWORK (RSN) CONNECTION ESTABLISHED TO FACILITATE DOWNLOADS OF ERROR LOGS AND DEPLOYMENT OF REPORTING TOOLS THAT CAPTURE AND DRILL DOWN. MOUSE LOCK UPS IN THE REMOTE SOLUTION LED TO INVESTIGATION OF THE TECHNOLOGY USED TO COMMUNICATE BETWEEN THE REMOTE CPU AND KVM SWITCH. THE INITIAL TECHNOLOGY INSTALLED EXTENDED THE PS/2 MOUSE COMMUNICATION PROTOCOLS BETWEEN THE CPU AND MOUSE. THE LOCKUPS TEND TO OCCUR RANDOMLY AND HAVE HAPPENED IN ALL FOUR WORKSTATIONS, HOWEVER, MOST PREVALENT IN THE STATIONS ALONG THE WINDOW. REMEDY WAS TO CONVERT THE REMOTE SOLUTION FROM A PS/2 TO A USB, REPLACE HARDWARE COMPONENTS WITH ANOTHER STYLE, AND UPGRADE TO 'KAVOOM' KVM SWITCH SOFTWARE. THIS SEEMS TO BE WORKING AS THE MONITOR TECH CAN SCROLL THROUGH THE FOUR MONITORS WITHOUT LOCKING UP, HOWEVER, LIMITS THE MONITORING CAPABILITY OF EACH MONITOR TO 12 PATIENTS INSTEAD OF THE 16 PATIENTS THAT ARE ADVERTISED.
5129877	0	THE ANALYZER ALERTED THE OPERATOR TO POSSIBLE SAMPLE ABNORMALITY. THE USER REPORTED ERRONEOUSLY ELEVATED WHITE BLOOD CELL (WBC) VALUE AS A PRELIMINARY REPORT AWAITING VERIFICATION. THE DOCTOR ADMINISTERED ANTIBIOTIC THERAPY. THE USER PERFORMED MANUAL DIFFERENTIAL AND OBSERVED THE PRESENCE OF NUCLEATED RED BLOOD CELLS (MRBC). THE USER MANUALLY CALCULATED THE CORRECTED WBC VALUE AND ISSUED A CORRECTED REPORT AND INFORMED THE DOCTOR. ANTIBIOTIC THERAPY WAS CONTINUED AFTER CORRECTED REPORTS WERE ISSUED. IT CANNOT BE CONFIRMED IF ANTIBIOTIC THERAPY WAS BASED ON THE ERRONEOUSLY ELEVATED PRELIMINARY WBC ALONE OR IF OTHER CLINICAL SIGNS AND SYMPTOMS WARRANTED THE TREATMENT. THERE WAS NO HARM TO THE PT. THE ANALYZER JUDGED THE SAMPLE AS POSITIVE" WITH INTERPRETIVE PROGRAM (IP) MESSAGING ALERTING THE OPERATOR TO POSSIBLE SAMPLE ABNORMALITY
